"Nombre","Puntos"
"loco",158.0
"loco",158.0
"comono",158
"Pepi",60.0
"Pepa",45.0
"Pepa",45.0
"Pepa",45.0
"Pedro          ",30.0
"Micalet        ",30.0
"santiago       ",30.0
"PEPE           ",30.0
"Pedri",30.0
